id,price_doc
30474,5356693
30475,8483537
30476,5346756
30477,6587620
30478,4855702
30479,7833055.5
30480,4475923.5
30481,3878660.75
30482,4160223.5
30483,4234051.5
30484,6188071
30485,4601194
30486,3348813
30487,3578151.25
30488,6271556
30489,6563126.5
30490,18371282
30491,16933396
30492,5795950
30493,12295234
30494,6773309.5
30495,10238019
30496,10315247
30497,8696703
30498,3992523.25
30499,8044808
30500,10304805
30501,6365308.5
30502,2851461.75
30503,6799054.5
30504,5763688
30505,11726512
30506,2780715
30507,4400009.5
30508,5456456
30509,7112869
30510,8293207
30511,6527957
30512,6716607.5
30513,4520550.5
30514,3215154.75
30515,8497529
30516,5503149.5
30517,9817959
30518,7519855
30519,4542443.5
30520,6618078
30521,5429173.5
30522,7189640.5
30523,6409392
30524,9651339
30525,15011574
30526,4479754
30527,5138635.5
30528,6467243.5
30529,6721169.5
30530,6283158
30531,13436360
30532,4359469
30533,9435232
30534,7382394.5
30535,8455526
30536,5531309.5
30537,11078979
30538,5523097
30539,9985626
30540,8601501
30541,7317452.5
30542,1129027
30543,5165965
30544,7191773.5
30545,9339530
30546,4120155.5
30547,8883009
30548,4194568
30549,4615755
30550,11197394
30551,4639635
30552,538176.5625
30553,7074281.5
30554,11021650
30555,6424667
30556,8029134
30557,7754677
30558,10504883
30559,6649102.5
30560,6221148
30561,6949789.5
30562,10312867
30563,4871602
30564,7107566.5
30565,8106969
30566,7927158
30567,522083.9063
30568,10502559
30569,9100379
30570,6594175.5
30571,6784836.5
30572,4689614
30573,6116328
30574,5919725
30575,7599707.5
30576,4144573.25
30577,3679305.75
30578,2531350.75
30579,7315533.5
30580,3897802
30581,4779391
30582,11484686
30583,6712797
30584,4501050.5
30585,2229654.5
30586,8898322
30587,6061685
30588,8337377.5
30589,7546393
30590,11611534
30591,5100538.5
30592,6268058
30593,10059723
30594,8352944.5
30595,5785391.5
30596,7557931
30597,6120704.5
30598,8546912
30599,10563190
30600,5601573
30601,6039101
30602,
30603,11349716
30604,4320843.5
30605,6360642
30606,21357246
30607,7136596
30608,8314739.5
30609,6610338.5
30610,3478238.5
30611,5473321
30612,7287478.5
30613,9020470
30614,17583780
30615,7454265.5
30616,5695469
30617,9338818
30618,4868820
30619,4180459
30620,2146185.5
30621,8305728.5
30622,9244236
30623,6028300.5
30624,7556144
30625,7757680.5
30626,6822151
30627,7603810.5
30628,6104941
30629,4731310.5
30630,4805483.5
30631,5665808.5
30632,3228258.75
30633,5979739.5
30634,10394703
